timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603185717776,465,HTTP Request,200,OK,Thread Group-Stress 1-1,text,true,,5715,126,1,1,https://blazedemo.com/reserve.php,461,0,35
1603185718242,429,HTTP Request,200,OK,Thread Group-Stress 1-1,text,true,,5715,126,1,1,https://blazedemo.com/reserve.php,424,0,0
1603185718672,780,HTTP Request,200,OK,Thread Group-Stress 1-1,text,true,,5715,126,2,2,https://blazedemo.com/reserve.php,777,0,0
1603185719452,245,HTTP Request,200,OK,Thread Group-Stress 1-1,text,true,,5715,126,2,2,https://blazedemo.com/reserve.php,240,0,0
1603185718792,908,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,2,2,https://blazedemo.com/reserve.php,907,0,37
1603185719700,221,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,3,3,https://blazedemo.com/reserve.php,220,0,0
1603185719697,245,HTTP Request,200,OK,Thread Group-Stress 1-1,text,true,,5715,126,3,3,https://blazedemo.com/reserve.php,241,0,0
1603185719921,418,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,3,3,https://blazedemo.com/reserve.php,417,0,0
1603185719777,1211,HTTP Request,200,OK,Thread Group-Stress 1-3,text,true,,5715,126,4,4,https://blazedemo.com/reserve.php,1211,0,32
1603185720779,304,HTTP Request,200,OK,Thread Group-Stress 1-4,text,true,,5715,126,4,4,https://blazedemo.com/reserve.php,304,0,35
1603185721084,306,HTTP Request,200,OK,Thread Group-Stress 1-4,text,true,,5715,126,4,4,https://blazedemo.com/reserve.php,301,0,0
1603185721779,267,HTTP Request,200,OK,Thread Group-Stress 1-5,text,true,,5715,126,5,5,https://blazedemo.com/reserve.php,266,0,38
1603185722046,249,HTTP Request,200,OK,Thread Group-Stress 1-5,text,true,,5715,126,5,5,https://blazedemo.com/reserve.php,245,0,0
1603185722296,392,HTTP Request,200,OK,Thread Group-Stress 1-5,text,true,,5715,126,5,5,https://blazedemo.com/reserve.php,388,0,0
1603185722688,858,HTTP Request,200,OK,Thread Group-Stress 1-5,text,true,,5715,126,6,6,https://blazedemo.com/reserve.php,854,0,0
1603185722779,1003,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,7,7,https://blazedemo.com/reserve.php,998,0,33
1603185723782,228,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,7,7,https://blazedemo.com/reserve.php,223,0,0
1603185724011,263,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,7,7,https://blazedemo.com/reserve.php,260,0,0
1603185719941,4701,HTTP Request,200,OK,Thread Group-Stress 1-1,text,true,,5715,126,7,7,https://blazedemo.com/reserve.php,4696,0,0
1603185724274,769,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,8,8,https://blazedemo.com/reserve.php,764,0,0
1603185724786,416,HTTP Request,200,OK,Thread Group-Stress 1-8,text,true,,5715,126,8,8,https://blazedemo.com/reserve.php,411,0,34
1603185725044,223,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,8,8,https://blazedemo.com/reserve.php,222,0,0
1603185725202,342,HTTP Request,200,OK,Thread Group-Stress 1-8,text,true,,5715,126,8,8,https://blazedemo.com/reserve.php,337,0,0
1603185725268,550,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,545,0,0
1603185725545,297,HTTP Request,200,OK,Thread Group-Stress 1-8,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,293,0,0
1603185725787,298,HTTP Request,200,OK,Thread Group-Stress 1-9,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,296,0,39
1603185725818,330,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,325,0,0
1603185726085,252,HTTP Request,200,OK,Thread Group-Stress 1-9,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,246,0,0
1603185726148,463,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,460,0,0
1603185726338,348,HTTP Request,200,OK,Thread Group-Stress 1-9,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,346,0,0
1603185720339,6497,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,6497,0,0
1603185726612,329,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,325,0,0
1603185726687,320,HTTP Request,200,OK,Thread Group-Stress 1-9,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,316,0,0
1603185726837,254,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,253,0,0
1603185726789,344,HTTP Request,200,OK,Thread Group-Stress 1-10,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,340,0,33
1603185726941,564,HTTP Request,200,OK,Thread Group-Stress 1-6,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,560,0,0
1603185727091,475,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,475,0,0
1603185727133,517,HTTP Request,200,OK,Thread Group-Stress 1-10,text,true,,5715,126,9,9,https://blazedemo.com/reserve.php,517,0,0
1603185723546,4288,HTTP Request,200,OK,Thread Group-Stress 1-5,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,4284,0,0
1603185727651,226,HTTP Request,200,OK,Thread Group-Stress 1-10,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,222,0,0
1603185727567,399,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,398,0,0
1603185727835,307,HTTP Request,200,OK,Thread Group-Stress 1-5,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,303,0,0
1603185727779,377,HTTP Request,200,OK,Thread Group-Stress 1-11,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,373,0,41
1603185727877,292,HTTP Request,200,OK,Thread Group-Stress 1-10,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,287,0,0
1603185727966,286,HTTP Request,200,OK,Thread Group-Stress 1-2,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,285,0,0
1603185720989,7452,HTTP Request,200,OK,Thread Group-Stress 1-3,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,7450,0,0
1603185728156,317,HTTP Request,200,OK,Thread Group-Stress 1-11,text,true,,5715,126,10,10,https://blazedemo.com/reserve.php,312,0,0
